"description","quantity","unit","matchDescription","gwp","source","tabName","rowNumber"
"basic wall : foundation - 375mm concrete rc35/45 w_step:208909",2,"m3","Concrete RC35/45 with CEM I cement",772,"ice","foundations",5
"m pile cap - 9 pile : 3800 x 3800 x 600mm:213950",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",21
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214092",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",23
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214433",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",25
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214825",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",29
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215135",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",33
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215539",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",37
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216359",14,"m3","Concrete RC40/50 with CEM I cement",5971,"ice","foundations",45
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214979",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",31
"m pile cap - 9 pile : 3800 x 3800 x 600mm:214639",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",27
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215299",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",35
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215821",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",41
"m pile cap - 9 pile : 3800 x 3800 x 600mm:215667",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",39
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216868",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",49
"m pile cap - 9 pile : 3800 x 3800 x 600mm:216617",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",47
"m pile cap - 9 pile : 3800 x 3800 x 600mm:217587",14,"m3","Concrete RC40/50 with 15% PFA cement",5486,"ice","foundations",55
"m pile - steel welded pipe:600mm diameter:219641",2,"m3","Steel, welded pipe",37034,"ice","foundations",57
"m pile - steel welded pipe:600mm diameter:219647",2,"m3","Steel, welded pipe",37034,"ice","foundations",63
